Channel:,Lum
Means:,11,40201
Note: Peaks measured from 20% upward
Peaks:,537
PeaksLevels:,4094
0, 0
1, 3152
2, 1712
3, 2894
4, 7211
5, 39650
6, 310242
7, 1306321
8, 3279669
9, 4486928
10, 3564586
11, 1906129
12, 702636
13, 278911
14, 126121
15, 75968
16, 45648
17, 29708
18, 19031
19, 13753
20, 10042
21, 7985
22, 6605
23, 5726
24, 4886
25, 4418
26, 3871
27, 3612
28, 3151
29, 2913
30, 2725
31, 2435
32, 2233
33, 2108
34, 1967
35, 1888
36, 1761
37, 1636
38, 1538
39, 1421
40, 1413
41, 1272
42, 1263
43, 1225
44, 1173
45, 1060
46, 1026
47, 1029
48, 961
49, 909
50, 862
51, 862
52, 825
53, 806
54, 734
55, 750
56, 720
57, 670
58, 665
59, 635
60, 609
61, 636
62, 610
63, 627
64, 591
65, 588
66, 560
67, 542
68, 542
69, 507
70, 480
71, 486
72, 489
73, 470
74, 439
75, 453
76, 446
77, 456
78, 434
79, 456
80, 427
81, 380
82, 381
83, 391
84, 373
85, 358
86, 345
87, 353
88, 345
89, 333
90, 349
91, 346
92, 323
93, 303
94, 341
95, 329
96, 327
97, 307
98, 286
99, 292
100, 281
101, 308
102, 282
103, 306
104, 292
105, 271
106, 272
107, 274
108, 261
109, 245
110, 247
111, 255
112, 249
113, 269
114, 260
115, 242
116, 267
117, 240
118, 262
119, 225
120, 235
121, 216
122, 219
123, 200
124, 225
125, 216
126, 201
127, 221
128, 193
129, 210
130, 197
131, 213
132, 221
133, 200
134, 220
135, 206
136, 187
137, 189
138, 182
139, 193
140, 191
141, 204
142, 180
143, 187
144, 183
145, 202
146, 193
147, 184
148, 187
149, 176
150, 161
151, 185
152, 177
153, 209
154, 168
155, 181
156, 171
157, 170
158, 141
159, 152
160, 184
161, 169
162, 180
163, 160
164, 167
165, 166
166, 171
167, 183
168, 145
169, 160
170, 154
171, 174
172, 154
173, 155
174, 155
175, 170
176, 154
177, 151
178, 130
179, 146
180, 152
181, 146
182, 141
183, 157
184, 165
185, 160
186, 145
187, 134
188, 141
189, 137
190, 142
191, 119
192, 149
193, 131
194, 168
195, 134
196, 155
197, 113
198, 138
199, 152
200, 124
201, 138
202, 151
203, 139
204, 128
205, 123
206, 127
207, 136
208, 120
209, 108
210, 144
211, 131
212, 110
213, 134
214, 98
215, 128
216, 121
217, 141
218, 118
219, 115
220, 126
221, 122
222, 127
223, 131
224, 101
225, 136
226, 103
227, 117
228, 132
229, 123
230, 96
231, 113
232, 129
233, 116
234, 109
235, 121
236, 99
237, 95
238, 112
239, 124
240, 136
241, 123
242, 132
243, 110
244, 110
245, 121
246, 117
247, 115
248, 86
249, 109
250, 106
251, 106
252, 105
253, 90
254, 111
255, 117
256, 98
257, 105
258, 93
259, 102
260, 97
261, 109
262, 97
263, 124
264, 113
265, 110
266, 79
267, 111
268, 102
269, 111
270, 107
271, 112
272, 90
273, 111
274, 103
275, 103
276, 108
277, 114
278, 102
279, 102
280, 103
281, 92
282, 105
283, 87
284, 103
285, 100
286, 121
287, 94
288, 93
289, 102
290, 102
291, 119
292, 86
